(AK,488,258,746)
(AZ,6199,4065,10264)
(CA,21971,16193,38164)
(CO,5484,4457,9941)
(CT,772,612,1384)
(DC,4952,3186,8138)
(FL,12763,8141,20904)
(GA,9001,6013,15014)
(HI,1815,1132,2947)
(IL,10552,7321,17873)
(IN,1095,711,1806)
(KY,595,467,1062)
(LA,1518,999,2517)
(MA,4160,2618,6778)
(MD,3103,2082,5185)
(MI,4114,2245,6359)
(MN,3980,2127,6107)
(MO,3586,2738,6324)
(NC,6222,4366,10588)
(NE,732,601,1333)
(NJ,3703,2709,6412)
(NM,912,884,1796)
(NV,5284,3605,8889)
(NY,7659,5568,13227)
(OH,4074,2494,6568)
(OK,741,670,1411)
(OR,1774,1196,2970)
(PA,3763,2836,6599)
(PR,789,627,1416)
(RI,553,464,1017)
(TN,3210,2040,5250)
(TX,16646,11157,27803)
(UT,3197,1717,4914)
(VA,1259,929,2188)
(WA,3719,2257,5976)
(WI,1195,875,2070)
