(CA,20623)
(TX,15664)
(FL,12188)
(IL,9803)
(GA,8520)
(NY,7117)
(AZ,5837)
(NC,5816)
(CO,5201)
(NV,4978)
(DC,4662)
(MA,3974)
(MI,3906)
(OH,3822)
(MN,3819)
(WA,3551)
(PA,3540)
(NJ,3454)
(MO,3355)
(UT,3042)
(TN,3001)
(MD,2903)
(OR,1674)
(HI,1672)
(LA,1437)
(VA,1178)
(WI,1133)
(IN,1028)
(NM,854)
(PR,745)
(CT,726)
(NE,675)
(OK,673)
(KY,559)
(RI,525)
(AK,471)
